2000,0,2,2
P00022,D001,2,3
P00001,B022,3,1
P00127,B002,2,1
P00127,B003,2,1
P00127,B004,2,1
P00276,B003,2,1
P00127,B005,2,1
P00276,B003,2,1
P00127,B006,2,1
P00127,B007,2,1
P00127,B008,2,1
P00127,B009,2,1
P00273,B003,3,0
P00273,B003,3,0
P00019,B027,3,1
P00001,B087,2,2
P00275,B006,3,0
P00275,B006,3,0
P00276,D001,1,2
P00288,D001,1,2
P00288,D002,1,1
P00288,D003,2,1
P00288,D004,2,1
P00276,D002,2,1
P00022,D002,2,1
P00018,D002,3,0
P00018,D003,3,0
P00019,D001,3,1
P00019,D002,3,1
P00019,D003,3,1
P00019,D004,3,1
P00019,D005,3,1
P00019,D006,3,2
P00019,D007,2,1
P00019,D008,2,1
P00019,D009,2,1
P00019,D010,2,1
P00326,B001,2,1
P00326,B001,2,1
P00019,D011,2,1
P00263,B003,2,1
P00263,B003,2,1
P00001,B230,1,1
P00001,B230,1,1
P00001,B231,1,1
P00001,B231,1,1
P00007,B163,1,2
P00007,B163,1,2
P00007,B164,1,1
P00007,B164,1,1
P00016,B086,1,1
P00019,D012,2,1
P00016,B087,1,2
P00019,D013,3,1
P00019,D014,2,1
10300,B001,3,0
10300,B002,3,0
10300,B003,3,0
10300,B004,3,0
10300,B005,3,0
10300,B006,3,0
10300,B007,3,0
10300,B008,3,0
10300,B009,3,0
10300,B010,3,0
10300,B011,3,0
10300,B012,3,0
10300,B013,3,0
10300,B014,3,0
10300,B015,3,0
10300,B016,3,0
P00018,B030,2,4
10300,B017,3,0
10300,B018,3,0
P00290,D001,1,2
P00291,D001,1,2
P00291,D002,1,1
P00296,D001,1,1
P00296,D002,1,1
P00328,B001,1,2
P00328,B001,1,2
P00328,B002,2,1
P00328,B002,2,1
P00234,B003,1,1
P00234,B003,1,1
P00005,B079,1,1
P00005,B079,1,1
P00025,B124,1,3
P00025,B124,1,3
P00018,B034,3,1
P00018,B034,3,1
11100,B001,3,0
11100,B002,3,0
P00019,D015,2,4
P00276,D005,1,1
P00273,B005,3,0
P00273,B005,3,0
P00329,B003,1,1
P00230,B012,1,1
P00329,B003,1,1
P00329,B004,2,1
P00329,B004,2,1
P00230,B002,1,1
P00230,B003,1,1
P00230,B005,1,1
P00181,B019,2,1
P00181,B019,2,1
P00015,B012,2,1
P00015,B012,2,1
P00330,B001,2,3
P00330,B001,2,3
P00330,B002,2,1
P00330,B002,2,1
P00330,B003,2,1
P00330,B003,2,1
P00330,B006,2,1
P00330,B006,2,1
P00016,B111,1,1
P00016,B111,1,1
P00025,B125,2,1
P00025,B125,2,1
P00025,B126,2,3
P00025,B126,2,3
P00025,B127,2,1
P00025,B127,2,1
P00026,B085,2,1
P00026,B085,2,1
P00026,B086,2,1
P00018,B001,3,1
P00026,B086,2,1
P00018,B002,3,1
P00018,B003,3,1
P00111,D001,2,1
P00111,D002,2,1
P00111,D003,2,1
P00277,B001,2,1
P00277,B001,2,1
P00018,B013,3,1
P00018,B015,3,1
